City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
310,Half Moon Bay,37.46,-122.43,72.0,72,5,1.43,US,smoke
311,Khatanga,71.97,102.5,25.59,97,68,16.06,RU,broken clouds
312,Baykit,61.67,96.37,31.93,94,100,4.07,RU,overcast clouds
313,Serafimovich,49.58,42.74,64.0,39,92,4.0,RU,overcast clouds
314,Eatonton,33.33,-83.39,70.0,51,0,5.77,US,clear sky
315,Porto Velho,-8.76,-63.9,89.6,55,40,3.36,BR,scattered clouds
316,Eruwa,7.53,3.42,83.14,74,24,4.12,NG,few clouds
317,Mahebourg,-20.41,57.7,73.4,78,20,3.62,MU,few clouds
318,Rockport,28.02,-97.05,78.01,65,1,9.17,US,clear sky
319,Fairmount,43.05,-76.24,60.8,55,75,10.29,US,broken clouds
320,Kyabe,9.45,18.94,82.67,76,22,3.65,TD,light rain
321,Vaitape,-16.52,-151.75,78.8,77,0,19.6,PF,clear sky
322,Bahia Blanca,-38.72,-62.27,51.62,46,65,16.67,AR,broken clouds
323,Nemuro,43.32,145.57,55.53,88,59,5.48,JP,broken clouds
324,Hayden,47.77,-116.79,55.4,82,1,9.17,US,clear sky
325,Alice Springs,-23.7,133.88,75.0,10,38,4.7,AU,scattered clouds
326,Chaumont,48.12,5.13,55.99,94,100,1.81,FR,heavy intensity rain
327,Lahat,-3.8,103.53,71.17,88,67,2.46,ID,moderate rain
328,Manoel Urbano,-8.84,-69.26,101.46,32,0,1.57,BR,clear sky
329,Belyy Yar,53.6,91.39,30.2,80,0,2.24,RU,clear sky
330,Dmitriyevka,54.75,55.33,51.01,76,0,2.24,RU,clear sky
331,Kimparana,12.83,-4.92,86.0,59,88,7.29,ML,overcast clouds
332,Doha,25.29,51.53,93.2,67,0,9.17,QA,clear sky
333,Tiznit,29.58,-9.5,69.76,58,0,11.43,MA,clear sky
334,Lumphat,13.49,106.98,75.04,96,100,4.27,KH,moderate rain
335,Olga,43.74,135.29,53.71,93,86,4.14,RU,overcast clouds
336,Riachao Das Neves,-11.75,-44.91,100.99,18,22,7.27,BR,few clouds
337,Lompoc,34.64,-120.46,78.8,48,20,5.79,US,few clouds
338,Codrington,-38.27,141.97,69.93,45,49,18.68,AU,scattered clouds
339,Sonoita,31.85,-112.83,93.99,9,0,0.67,MX,clear sky
340,Portland,45.52,-122.68,60.01,100,75,0.94,US,mist
341,Imbituba,-28.24,-48.67,80.6,69,56,6.93,BR,broken clouds
342,Aksarka,66.56,67.8,44.15,89,99,13.49,RU,light rain
343,Bakchar,57.02,82.07,47.32,90,100,7.54,RU,overcast clouds
344,Merauke,-8.47,140.33,77.0,80,97,15.26,ID,overcast clouds
345,Ampanihy,-24.7,44.75,72.48,53,0,13.47,MG,clear sky
346,Port Keats,-14.25,129.55,81.99,74,97,6.29,AU,overcast clouds
347,Avila,40.58,-5.0,48.0,64,76,5.01,ES,broken clouds
348,Fort Nelson,58.81,-122.7,39.2,80,40,6.93,CA,scattered clouds
349,Yumen,40.28,97.2,42.24,51,55,10.6,CN,broken clouds
350,Lososina,49.0,140.31,52.18,79,100,10.16,RU,moderate rain
351,Oktyabrskiy,54.48,53.47,53.67,72,0,0.98,RU,clear sky
352,Imeni Poliny Osipenko,52.42,136.49,43.65,83,100,7.85,RU,overcast clouds
353,Sena Madureira,-9.07,-68.66,101.62,32,0,1.92,BR,clear sky
354,Guerrero Negro,27.98,-114.06,81.93,45,0,4.03,MX,clear sky
355,Ixtapa,20.7,-105.2,84.99,58,5,12.75,MX,clear sky
